season,year,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
Summer,1991,5.5,595.3000000864267,204.2826086956522,29.7,17.27499997097513,2.9,207.49999897927046,101557.71739130435,0
Winter,1991,5.488888888888889,177.59999895840883,33.05555555555556,13.9,3.9199999935097165,-8.9,116.39999961107969,102215.22222222222,12
Autumn,1992,5.43956043956044,301.7000014260411,74.41758241758242,23.9,10.689011020974798,-1.1,223.59999800473452,101266.04395604396,0
Spring,1992,5.326086956521739,463.4000034928322,156.07608695652175,27.3,11.285869536192521,-0.5,190.09999909996986,101513.58695652174,0
Summer,1992,5.684782608695652,521.5000006332994,189.9673913043478,30.2,17.791304318801217,7.9,169.50000081211329,101507.82608695653,0
Winter,1992,5.56043956043956,155.39999993145466,31.956043956043956,14.6,5.073626354500488,-5.4,66.1999993994832,102369.01098901099,0
Autumn,1993,5.736263736263736,292.79999873787165,74.05494505494505,23.4,9.749450508709792,-5.8,248.80000195652246,101501.53846153847,0
Spring,1993,5.434782608695652,431.8999976888299,146.97826086956522,25.1,10.525000009847725,-1,123.09999992698431,101529.23913043478,0
Summer,1993,5.69620253164557,443.09999844431877,190.65822784810126,28.1,16.748101282723344,6.2,99.6999998614192,101689.74683544303,0
Winter,1993,6.355555555555555,141.19999998807907,30.666666666666668,14.4,6.098888880014419,-6.6,139.3000012487173,101806.88888888889,0
Autumn,1994,5.9010989010989015,293.39999905228615,73.78021978021978,22.1,12.263736263736265,1.9,205.400002643466,101448.35164835164,0
Spring,1994,6.065217391304348,459.7000007852912,150.94565217391303,25.3,10.025000027988268,-0.8,173.3999994173646,101389.34782608696,0
Summer,1994,5.239130434782608,713.0000029280782,225.0108695652174,33.1,18.494565238123354,5.5,66.09999919682741,101709.34782608696,0
Winter,1994,5.644444444444445,206.19999861717224,36.077777777777776,15.4,5.980000008973811,-5.5,185.89999928325415,101264,3
Autumn,1995,5.516483516483516,348.50000047683716,80.76923076923077,24.6,12.60439562535548,-2.3,142.6999995931983,101537.25274725274,0
Spring,1995,5.1521739130434785,628.4000033810735,177,27.1,10.2271739218546,-3.8,96.39999947696924,101611.30434782608,0
Summer,1995,4.684782608695652,730.1000025048852,224.80434782608697,34.3,19.32608695652174,6.9,31.699999518692493,101829.13043478261,0
Winter,1995,6.177777777777778,175.199999243021,33.55555555555556,13.6,5.415555532938904,-5,268.39999812841415,101279.77777777778,1
Autumn,1996,5.252747252747253,391.800000436604,83.02197802197803,23.4,11.447252750396729,-3.1,148.40000055730343,101428.35164835164,0
Spring,1996,5.967391304347826,406.0000022575259,143.25,26.1,8.554347818312438,-3.7,82.19999947398901,101672.06521739131,0
Summer,1996,4.989130434782608,733.9999992251396,228.1413043478261,31.8,17.99347822562508,7.3,86.6000005081296,101789.56521739131,0
Winter,1996,6.263736263736264,183.19999968260527,35.285714285714285,13.2,4.14835162460804,-5.3,103.50000078231096,101272.85714285714,3
Autumn,1997,5.021978021978022,423.59999683499336,89.27472527472527,25.5,12.435164870796623,-2.5,98.80000052601099,101431.64835164836,0
Spring,1997,4.923913043478261,628.7000005841255,179.30434782608697,26.6,11.220652201901311,-1,49.39999984204769,102034.67391304347,0
Summer,1997,5.684782608695652,586.9000006616116,204.2391304347826,31.5,18.73478264394014,7.5,198.10000057518482,101452.17391304347,0
Winter,1997,6.2,165.40000059455633,32.544444444444444,15,5.650000018874804,-5.5,112.60000088810921,101635.11111111111,0
Autumn,1998,5.8901098901098905,324.30000277608633,78.67032967032966,23.6,11.578021963874063,-0.8,262.0000004321337,101260.21978021978,0
Spring,1998,6.184782608695652,428.5000002607703,148.09782608695653,25.7,10.998913080795951,-0.1,165.5999993979931,101381.30434782608,0
Summer,1998,5.554347826086956,605.2999989688396,205.8695652173913,31.2,17.091304312581602,5.1,133.10000064969063,101509.34782608696,0
Winter,1998,5.844444444444444,220.6999991312623,38.48888888888889,18.6,6.874444461448325,-3.9,124.40000014007092,101851.66666666667,0
Autumn,1999,5.241758241758242,404.5000014230609,87.53846153846153,28.5,12.517582429634345,0.7,167.09999856352806,101481.31868131868,0
Spring,1999,5.836956521739131,475.2000017389655,156.0108695652174,26.4,11.294565221537715,-1.6,96.4000009894371,101287.82608695653,0
Summer,1999,5.304347826086956,714.8000014126301,226.83695652173913,32.7,17.89891303103903,5.7,231.59999951720238,101556.73913043478,0
Winter,1999,5.844444444444444,219.0999996960163,37.544444444444444,15.4,5.9788888721002476,-5.5,167.00000050663948,101290.44444444444,0
Autumn,2000,5.714285714285714,305.000000461936,74.82417582417582,27.5,11.884615395095322,-1.2,360.6999997869134,100622.41758241758,0
Spring,2000,6,459.10000132769346,152.4673913043478,26.6,10.492391275322955,-0.3,202.80000042915344,101429.34782608696,0
Summer,2000,5.532608695652174,555.5999997779727,196.5108695652174,31.4,17.466304457705952,7.5,104.29999957233667,101666.84782608696,0
Winter,2000,5.736263736263736,231.09999930113554,39.10989010989011,14.3,6.43406590131613,-5.5,152.59999945759773,101614.83516483517,2
Autumn,2001,5.758241758241758,341.50000298023224,80.26373626373626,23.6,12.28241755936172,-0.4,201.60000053048134,101675.27472527472,0
Spring,2001,5.891304347826087,444.7000004053116,152.06521739130434,26.1,9.87282611656448,-4.3,187.800000756979,101166.41304347826,0
Summer,2001,5.4021739130434785,687.9999980926514,220.3804347826087,31.9,18.181521747423254,5.6,153.30000011622906,101513.47826086957,0
Winter,2001,5.344444444444444,272.60000114142895,41.266666666666666,14.5,4.891111104604271,-3.9,162.59999971091747,101699.55555555556,0
Autumn,2002,5.65934065934066,353.50000097602606,82.62637362637362,24.6,12.457142887534676,0.6,232.60000075399876,101188.35164835164,0
Spring,2002,5.434782608695652,524.0000012591481,163.82608695652175,25.1,10.988043474114459,-0.7,142.40000000596046,101475.32608695653,0
Summer,2002,5.641304347826087,575.7999999299645,201.91304347826087,32.5,17.610869552778162,8.5,177.70000277459621,101500.54347826086,0
Winter,2002,6.277777777777778,178.90000104159117,34.87777777777778,14,7.1788889163070255,-5.3,234.00000028312206,101413.66666666667,0
Autumn,2003,5.153846153846154,455.60000087320805,93.35164835164835,27.9,12.141758295205923,-0.4,157.40000040829182,101531.42857142857,0
Spring,2003,4.880434782608695,580.3999981060624,170.7608695652174,28.9,11.181521705959154,-0.7,85.50000032782555,101837.60869565218,0
Summer,2003,4.923913043478261,714.6999959945679,224.1086956521739,37.9,19.634782614915267,8.4,86.79999957978725,101633.69565217392,0
Winter,2003,5.533333333333333,252.800000295043,40.34444444444444,15.1,5.450000011920929,-5.1,146.19999985396862,101725.88888888889,4
Autumn,2004,5.626373626373627,344.69999896734953,81.06593406593407,27.7,12.524175884959462,-0.5,145.10000263154507,101570.54945054946,0
Spring,2004,5.543478260869565,465.90000096708536,154.56521739130434,24.5,10.602173916671587,-3.8,144.2000002413988,101635.32608695653,0
Summer,2004,5.489130434782608,650.7999988347292,216.42391304347825,30.5,18.273913020673007,7.3,185.80000008642673,101455.10869565218,0
Winter,2004,5.8901098901098905,177.5000000372529,34.51648351648352,16.6,6.017582399177027,-4.8,144.60000055283308,101595.82417582418,2
Autumn,2005,5.114942528735632,310.80000195652246,78.10344827586206,29.4,12.893103455675059,-3,148.299999371171,101574.59770114943,0
Spring,2005,5.706521739130435,477.99999962747097,157.04347826086956,30.7,10.520652116640754,-4.8,93.39999969303608,101553.91304347826,1
Summer,2005,5.021739130434782,672.2000004202127,215.83695652173913,32.6,18.236956523812335,5.8,120.799999833107,101736.52173913043,0
Winter,2005,5.51685393258427,200.20000068098307,36.48314606741573,14.4,5.573033684090282,-4.7,73.90000003576279,102050.11235955056,1
Autumn,2006,3.870967741935484,106.30000015348196,48.29032258064516,17.3,9.651612881691225,-0.4,94.59999929368496,101473.54838709677,0
